dataset,method,num_trees,split,iter,accuracy,f1_score
bankruptcy,gpt-4o,5,67/33,0,0.7878787878787878,0.7984189723320159
bankruptcy,gpt-4o,5,67/33,1,0.8819444444444444,0.8819444444444444
bankruptcy,gpt-4o,5,67/33,2,0.9166666666666667,0.9328063241106719
bankruptcy,gpt-4o,5,67/33,3,0.7357142857142858,0.7424242424242424
bankruptcy,gpt-4o,5,67/33,4,0.7152777777777778,0.7017543859649122
bankruptcy,gpt-o1,5,33/67,0,0.868421052631579,0.8528138528138528
bankruptcy,gpt-o1,5,33/67,1,0.8576388888888888,0.8528138528138528
bankruptcy,gpt-o1,5,33/67,2,0.887719298245614,0.8819444444444444
bankruptcy,gpt-o1,5,33/67,3,0.8392857142857143,0.8229166666666667
bankruptcy,gpt-o1,5,33/67,4,0.8403508771929824,0.8464317976513098
bankruptcy,gpt-o1,5,50/50,0,0.8833333333333333,0.8768472906403941
bankruptcy,gpt-o1,5,50/50,1,0.8012820512820513,0.8
bankruptcy,gpt-o1,5,50/50,2,0.8888888888888888,0.9080882352941176
bankruptcy,gpt-o1,5,50/50,3,0.8116883116883117,0.8
bankruptcy,gpt-o1,5,50/50,4,0.7666666666666666,0.7771836007130125
bankruptcy,gpt-o1,5,67/33,0,0.8333333333333333,0.8583333333333334
bankruptcy,gpt-o1,5,67/33,1,0.9444444444444444,0.9411764705882353
bankruptcy,gpt-o1,5,67/33,2,0.8712121212121212,0.8712121212121212
bankruptcy,gpt-o1,5,67/33,3,0.7857142857142857,0.7984189723320159
bankruptcy,gpt-o1,5,67/33,4,0.7152777777777778,0.7017543859649122
bankruptcy,rt-us,5,33/67,0,0.7298245614035088,0.7017543859649122
bankruptcy,rt-us,5,33/67,1,0.8229166666666667,0.8229166666666667
bankruptcy,rt-us,5,33/67,2,0.8333333333333333,0.8418604651162791
bankruptcy,rt-us,5,33/67,3,0.75,0.7588652482269503
bankruptcy,rt-us,5,33/67,4,0.7421052631578948,0.7350649350649351
bankruptcy,rt-us,5,50/50,0,0.7333333333333334,0.7181964573268921
bankruptcy,rt-us,5,50/50,1,0.7596153846153846,0.7596153846153846
bankruptcy,rt-us,5,50/50,2,0.8020833333333333,0.8161764705882353
