dataset,method,num_trees,iter,decision_tree,description,num_examples,max_tree_depth,temperature,split,accuracy,f1_score
boxing1,gpt-4o,5,4,True,False,1,2,0,67/33,0.40384615384615385,0.37460913070669166
boxing1,gpt-4o,5,0,True,False,1,2,0.5,33/67,0.5558823529411765,0.5185185185185185
boxing1,gpt-4o,5,1,True,False,1,2,0.5,33/67,0.5473484848484849,0.5373030984940281
boxing1,gpt-4o,5,2,True,False,1,2,0.5,33/67,0.5253571428571429,0.4775798525798526
boxing1,gpt-4o,5,3,True,False,1,2,0.5,33/67,0.42082210242587603,0.40294840294840295
boxing1,gpt-4o,5,4,True,False,1,2,0.5,33/67,0.6452254641909815,0.6494720443136577
boxing1,gpt-4o,5,0,True,False,1,2,0.5,50/50,0.6,0.5622895622895623
boxing1,gpt-4o,5,1,True,False,1,2,0.5,50/50,0.5906562847608454,0.5604395604395604
boxing1,gpt-4o,5,2,True,False,1,2,0.5,50/50,0.4722222222222222,0.4152046783625731
boxing1,gpt-4o,5,3,True,False,1,2,0.5,50/50,0.373015873015873,0.3552036199095022
boxing1,gpt-4o,5,4,True,False,1,2,0.5,50/50,0.6150793650793651,0.6168067226890757
boxing1,gpt-4o,5,0,True,False,1,2,0.5,67/33,0.54858934169279,0.52
boxing1,gpt-4o,5,1,True,False,1,2,0.5,67/33,0.5864661654135338,0.5604395604395604
boxing1,gpt-4o,5,2,True,False,1,2,0.5,67/33,0.4358974358974359,0.39849624060150374
boxing1,gpt-4o,5,3,True,False,1,2,0.5,67/33,0.3205128205128205,0.3142857142857143
boxing1,gpt-4o,5,4,True,False,1,2,0.5,67/33,0.6346153846153846,0.636617749825297
boxing1,gpt-4o,5,0,True,False,1,2,1,33/67,0.5833333333333334,0.5137755887332616
boxing1,gpt-4o,5,1,True,False,1,2,1,33/67,0.53125,0.5054945054945055
boxing1,gpt-4o,5,2,True,False,1,2,1,33/67,0.5564285714285714,0.4925897631779985
boxing1,gpt-4o,5,3,True,False,1,2,1,33/67,0.559299191374663,0.5438047559449312
boxing1,gpt-4o,5,4,True,False,1,2,1,33/67,0.5639920424403183,0.5185185185185185
boxing1,gpt-4o,5,0,True,False,1,2,1,50/50,0.5625,0.48203842940685043
boxing1,gpt-4o,5,1,True,False,1,2,1,50/50,0.47274749721913234,0.4514285714285714
